1,'Switzerland'
2,'Canada'
3,'South Africa'
4,'England'
5,'Spain'
6,'Scotland'
7,'Sweden'
8,'Denmark'
9,'N/A'
10,'India'
11,'Falkland Islands'
12,'France'
13,'United States'
14,'Russian Empire'
15,'Estonia'
16,'Germany'
17,'Norway'
18,'Argentina'
19,'Dominica'
20,'Ireland'
21,'Unknown'
22,'Tierra del Fuego'
23,'Wales'
24,'Barbados'
25,'Burma'
26,'Fiji'
27,'Chile'
28,'Greece'
29,'Kenya'
30,'New Zealand'
31,'Australia'
32,'Bohemia'
33,'Czech Republic'
34,'Uruguay'
35,'Italy'
36,'Gibraltar'
37,'Netherlands'
38,'Jamaica'
39,'Belgium'
